# Intensity Error [H,0,0] DeltaE [0,K,0] [0,0,L]
#  shape: 40x50x1x1
6.357877e-03 6.599662e-05 5.000000e-01 -3.000045e-01 0.000000e+00 0.000000e+00
6.377025e-03 7.246604e-05 5.000000e-01 -1.000047e-01 0.000000e+00 0.000000e+00
3.337524e-03 7.684963e-05 5.000000e-01 9.999514e-02 0.000000e+00 0.000000e+00
4.544910e-05 7.743843e-05 5.000000e-01 2.999949e-01 0.000000e+00 0.000000e+00
-3.676198e-03 7.374321e-05 5.000000e-01 4.999948e-01 0.000000e+00 0.000000e+00
-1.993178e-04 6.411551e-05 5.000000e-01 6.999946e-01 0.000000e+00 0.000000e+00
-5.265023e-04 5.087074e-05 5.000000e-01 8.999944e-01 0.000000e+00 0.000000e+00
-2.653275e-04 3.541839e-05 5.000000e-01 1.099994e+00 0.000000e+00 0.000000e+00
-3.190852e-04 2.078322e-05 5.000000e-01 1.299994e+00 0.000000e+00 0.000000e+00
1.772477e-04 1.042454e-05 5.000000e-01 1.499994e+00 0.000000e+00 0.000000e+00
4.084348e-05 5.622235e-06 5.000000e-01 1.699994e+00 0.000000e+00 0.000000e+00
-4.467881e-05 4.285003e-06 5.000000e-01 1.899993e+00 0.000000e+00 0.000000e+00
1.226323e-05 3.915938e-06 5.000000e-01 2.099993e+00 0.000000e+00 0.000000e+00
5.987828e-05 3.503146e-06 5.000000e-01 2.299993e+00 0.000000e+00 0.000000e+00
6.514642e-05 3.601444e-06 5.000000e-01 2.499993e+00 0.000000e+00 0.000000e+00
4.709355e-05 3.853657e-06 5.000000e-01 2.699993e+00 0.000000e+00 0.000000e+00
-6.597977e-05 3.759769e-06 5.000000e-01 2.899992e+00 0.000000e+00 0.000000e+00
-2.050485e-05 4.897107e-06 5.000000e-01 3.099992e+00 0.000000e+00 0.000000e+00
-6.653209e-05 4.852609e-06 5.000000e-01 3.299992e+00 0.000000e+00 0.000000e+00
2.831205e-05 4.972537e-06 5.000000e-01 3.499992e+00 0.000000e+00 0.000000e+00
7.265930e-05 7.852527e-06 5.000000e-01 3.699992e+00 0.000000e+00 0.000000e+00
4.996393e-05 7.546335e-06 5.000000e-01 3.899992e+00 0.000000e+00 0.000000e+00
8.885197e-06 3.632379e-06 5.000000e-01 4.099991e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 4.299991e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 4.499991e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 4.699991e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 4.899991e+00 0.000000e+00 0.000000e+00
4.807560e-04 3.501770e-05 7.000000e-01 -4.900000e+00 0.000000e+00 0.000000e+00
5.912960e-04 3.081480e-05 7.000000e-01 -4.700000e+00 0.000000e+00 0.000000e+00
-5.607563e-05 3.047705e-05 7.000000e-01 -4.500000e+00 0.000000e+00 0.000000e+00
3.709720e-04 2.845797e-05 7.000000e-01 -4.300001e+00 0.000000e+00 0.000000e+00
9.021659e-05 2.701376e-05 7.000000e-01 -4.100001e+00 0.000000e+00 0.000000e+00
2.957172e-04 2.360310e-05 7.000000e-01 -3.900001e+00 0.000000e+00 0.000000e+00
2.256921e-04 2.191731e-05 7.000000e-01 -3.700001e+00 0.000000e+00 0.000000e+00
5.465992e-05 1.881495e-05 7.000000e-01 -3.500001e+00 0.000000e+00 0.000000e+00
-9.868108e-06 1.631888e-05 7.000000e-01 -3.300002e+00 0.000000e+00 0.000000e+00
1.849041e-04 1.442607e-05 7.000000e-01 -3.100002e+00 0.000000e+00 0.000000e+00
3.684667e-04 1.181728e-05 7.000000e-01 -2.900002e+00 0.000000e+00 0.000000e+00
2.092814e-04 9.805425e-06 7.000000e-01 -2.700002e+00 0.000000e+00 0.000000e+00
-3.691169e-06 1.009469e-05 7.000000e-01 -2.500002e+00 0.000000e+00 0.000000e+00
2.037939e-05 1.011847e-05 7.000000e-01 -2.300003e+00 0.000000e+00 0.000000e+00
-5.494839e-05 9.476611e-06 7.000000e-01 -2.100003e+00 0.000000e+00 0.000000e+00
9.071691e-06 9.796633e-06 7.000000e-01 -1.900003e+00 0.000000e+00 0.000000e+00
1.035280e-04 1.007025e-05 7.000000e-01 -1.700003e+00 0.000000e+00 0.000000e+00
-1.887281e-04 1.073119e-05 7.000000e-01 -1.500003e+00 0.000000e+00 0.000000e+00
-6.161851e-05 1.181134e-05 7.000000e-01 -1.300004e+00 0.000000e+00 0.000000e+00
-2.907712e-04 1.276240e-05 7.000000e-01 -1.100004e+00 0.000000e+00 0.000000e+00
-6.135242e-04 1.369558e-05 7.000000e-01 -9.000039e-01 0.000000e+00 0.000000e+00
-6.814249e-06 1.523018e-05 7.000000e-01 -7.000041e-01 0.000000e+00 0.000000e+00
6.394273e-04 1.674508e-05 7.000000e-01 -5.000043e-01 0.000000e+00 0.000000e+00
6.724012e-04 1.880583e-05 7.000000e-01 -3.000045e-01 0.000000e+00 0.000000e+00
-1.567278e-04 2.109858e-05 7.000000e-01 -1.000047e-01 0.000000e+00 0.000000e+00
-3.123921e-04 2.266853e-05 7.000000e-01 9.999514e-02 0.000000e+00 0.000000e+00
-5.494577e-04 2.293986e-05 7.000000e-01 2.999949e-01 0.000000e+00 0.000000e+00
-1.141580e-03 2.109334e-05 7.000000e-01 4.999948e-01 0.000000e+00 0.000000e+00
-1.111041e-03 1.759089e-05 7.000000e-01 6.999946e-01 0.000000e+00 0.000000e+00
-6.051383e-04 1.302495e-05 7.000000e-01 8.999944e-01 0.000000e+00 0.000000e+00
-2.647652e-04 8.644331e-06 7.000000e-01 1.099994e+00 0.000000e+00 0.000000e+00
-1.707556e-04 5.312536e-06 7.000000e-01 1.299994e+00 0.000000e+00 0.000000e+00
-2.445091e-05 3.340747e-06 7.000000e-01 1.499994e+00 0.000000e+00 0.000000e+00
8.737156e-06 2.561806e-06 7.000000e-01 1.699994e+00 0.000000e+00 0.000000e+00
-1.523688e-05 2.299648e-06 7.000000e-01 1.899993e+00 0.000000e+00 0.000000e+00
-4.150329e-06 1.907796e-06 7.000000e-01 2.099993e+00 0.000000e+00 0.000000e+00
2.825564e-06 2.006134e-06 7.000000e-01 2.299993e+00 0.000000e+00 0.000000e+00
3.027382e-05 2.362505e-06 7.000000e-01 2.499993e+00 0.000000e+00 0.000000e+00
2.994198e-05 2.693553e-06 7.000000e-01 2.699993e+00 0.000000e+00 0.000000e+00
-4.223569e-05 2.887200e-06 7.000000e-01 2.899992e+00 0.000000e+00 0.000000e+00
1.266556e-05 2.909452e-06 7.000000e-01 3.099992e+00 0.000000e+00 0.000000e+00
-2.007181e-05 2.605835e-06 7.000000e-01 3.299992e+00 0.000000e+00 0.000000e+00
9.484994e-06 3.027377e-06 7.000000e-01 3.499992e+00 0.000000e+00 0.000000e+00
6.982844e-06 3.037421e-06 7.000000e-01 3.699992e+00 0.000000e+00 0.000000e+00
5.673457e-06 3.514902e-06 7.000000e-01 3.899992e+00 0.000000e+00 0.000000e+00
2.768153e-06 3.308316e-06 7.000000e-01 4.099991e+00 0.000000e+00 0.000000e+00
3.502276e-05 3.302611e-06 7.000000e-01 4.299991e+00 0.000000e+00 0.000000e+00
3.722652e-05 3.511681e-06 7.000000e-01 4.499991e+00 0.000000e+00 0.000000e+00
1.978800e-05 2.135483e-06 7.000000e-01 4.699991e+00 0.000000e+00 0.000000e+00
3.242689e-05 4.194102e-06 7.000000e-01 4.899991e+00 0.000000e+00 0.000000e+00
8.127200e-05 7.638082e-06 9.000000e-01 -4.900000e+00 0.000000e+00 0.000000e+00
1.086273e-04 6.706743e-06 9.000000e-01 -4.700000e+00 0.000000e+00 0.000000e+00
-3.447174e-05 7.217800e-06 9.000000e-01 -4.500000e+00 0.000000e+00 0.000000e+00
9.954431e-05 6.735347e-06 9.000000e-01 -4.300001e+00 0.000000e+00 0.000000e+00
5.638928e-05 6.114592e-06 9.000000e-01 -4.100001e+00 0.000000e+00 0.000000e+00
4.669591e-05 4.662212e-06 9.000000e-01 -3.900001e+00 0.000000e+00 0.000000e+00
1.624809e-05 4.592922e-06 9.000000e-01 -3.700001e+00 0.000000e+00 0.000000e+00
-2.293357e-05 3.898681e-06 9.000000e-01 -3.500001e+00 0.000000e+00 0.000000e+00
-3.050974e-05 3.403740e-06 9.000000e-01 -3.300002e+00 0.000000e+00 0.000000e+00
4.003405e-05 2.549752e-06 9.000000e-01 -3.100002e+00 0.000000e+00 0.000000e+00
6.245319e-05 2.317489e-06 9.000000e-01 -2.900002e+00 0.000000e+00 0.000000e+00
4.102369e-05 2.423449e-06 9.000000e-01 -2.700002e+00 0.000000e+00 0.000000e+00
8.309068e-06 2.919478e-06 9.000000e-01 -2.500002e+00 0.000000e+00 0.000000e+00
-6.612916e-05 3.211497e-06 9.000000e-01 -2.300003e+00 0.000000e+00 0.000000e+00
-4.157552e-05 3.307904e-06 9.000000e-01 -2.100003e+00 0.000000e+00 0.000000e+00
-2.989775e-07 3.697078e-06 9.000000e-01 -1.900003e+00 0.000000e+00 0.000000e+00
6.971037e-05 3.692650e-06 9.000000e-01 -1.700003e+00 0.000000e+00 0.000000e+00
-1.221549e-05 4.236965e-06 9.000000e-01 -1.500003e+00 0.000000e+00 0.000000e+00
-6.599658e-05 4.840432e-06 9.000000e-01 -1.300004e+00 0.000000e+00 0.000000e+00
-7.182201e-05 5.610100e-06 9.000000e-01 -1.100004e+00 0.000000e+00 0.000000e+00
-1.336570e-04 6.244742e-06 9.000000e-01 -9.000039e-01 0.000000e+00 0.000000e+00
-9.758485e-05 7.022231e-06 9.000000e-01 -7.000041e-01 0.000000e+00 0.000000e+00
-9.498379e-05 8.292070e-06 9.000000e-01 -5.000043e-01 0.000000e+00 0.000000e+00
1.109575e-04 9.605236e-06 9.000000e-01 -3.000045e-01 0.000000e+00 0.000000e+00
1.612328e-04 1.066878e-05 9.000000e-01 -1.000047e-01 0.000000e+00 0.000000e+00
8.239554e-05 1.155777e-05 9.000000e-01 9.999514e-02 0.000000e+00 0.000000e+00
3.444486e-04 1.162390e-05 9.000000e-01 2.999949e-01 0.000000e+00 0.000000e+00
3.542319e-04 1.050522e-05 9.000000e-01 4.999948e-01 0.000000e+00 0.000000e+00
1.194104e-04 8.798479e-06 9.000000e-01 6.999946e-01 0.000000e+00 0.000000e+00
-1.180054e-04 6.541397e-06 9.000000e-01 8.999944e-01 0.000000e+00 0.000000e+00
4.538635e-06 4.684214e-06 9.000000e-01 1.099994e+00 0.000000e+00 0.000000e+00
-3.316787e-05 3.203387e-06 9.000000e-01 1.299994e+00 0.000000e+00 0.000000e+00
-7.182740e-05 2.407262e-06 9.000000e-01 1.499994e+00 0.000000e+00 0.000000e+00
-9.506970e-05 2.390370e-06 9.000000e-01 1.699994e+00 0.000000e+00 0.000000e+00
-1.002153e-05 1.835794e-06 9.000000e-01 1.899993e+00 0.000000e+00 0.000000e+00
1.516061e-05 1.961310e-06 9.000000e-01 2.099993e+00 0.000000e+00 0.000000e+00
2.844687e-06 2.175570e-06 9.000000e-01 2.299993e+00 0.000000e+00 0.000000e+00
-3.396795e-06 2.039020e-06 9.000000e-01 2.499993e+00 0.000000e+00 0.000000e+00
1.707937e-05 2.229048e-06 9.000000e-01 2.699993e+00 0.000000e+00 0.000000e+00
1.481335e-05 2.510018e-06 9.000000e-01 2.899992e+00 0.000000e+00 0.000000e+00
1.551801e-05 2.602964e-06 9.000000e-01 3.099992e+00 0.000000e+00 0.000000e+00
-3.996796e-05 2.075278e-06 9.000000e-01 3.299992e+00 0.000000e+00 0.000000e+00
6.949648e-06 2.165729e-06 9.000000e-01 3.499992e+00 0.000000e+00 0.000000e+00
1.011829e-05 1.759982e-06 9.000000e-01 3.699992e+00 0.000000e+00 0.000000e+00
9.134787e-06 1.759456e-06 9.000000e-01 3.899992e+00 0.000000e+00 0.000000e+00
6.256330e-06 1.749434e-06 9.000000e-01 4.099991e+00 0.000000e+00 0.000000e+00
2.606105e-05 2.667300e-06 9.000000e-01 4.299991e+00 0.000000e+00 0.000000e+00
1.633137e-05 1.653027e-06 9.000000e-01 4.499991e+00 0.000000e+00 0.000000e+00
2.166396e-05 2.338332e-06 9.000000e-01 4.699991e+00 0.000000e+00 0.000000e+00
2.235680e-05 2.580608e-06 9.000000e-01 4.899991e+00 0.000000e+00 0.000000e+00
-3.053396e-05 3.381046e-06 1.100000e+00 -4.900000e+00 0.000000e+00 0.000000e+00
1.843767e-05 3.765109e-06 1.100000e+00 -4.700000e+00 0.000000e+00 0.000000e+00
-4.808859e-05 2.761717e-06 1.100000e+00 -4.500000e+00 0.000000e+00 0.000000e+00
-5.113479e-05 2.850711e-06 1.100000e+00 -4.300001e+00 0.000000e+00 0.000000e+00
1.601059e-05 2.241943e-06 1.100000e+00 -4.100001e+00 0.000000e+00 0.000000e+00
1.660983e-05 1.766170e-06 1.100000e+00 -3.900001e+00 0.000000e+00 0.000000e+00
1.864019e-05 1.850866e-06 1.100000e+00 -3.700001e+00 0.000000e+00 0.000000e+00
2.231124e-05 2.173943e-06 1.100000e+00 -3.500001e+00 0.000000e+00 0.000000e+00
2.240136e-05 1.749170e-06 1.100000e+00 -3.300002e+00 0.000000e+00 0.000000e+00
2.481108e-05 1.811261e-06 1.100000e+00 -3.100002e+00 0.000000e+00 0.000000e+00
3.045637e-07 2.241777e-06 1.100000e+00 -2.900002e+00 0.000000e+00 0.000000e+00
-1.757823e-05 2.351723e-06 1.100000e+00 -2.700002e+00 0.000000e+00 0.000000e+00
-4.244080e-06 2.116854e-06 1.100000e+00 -2.500002e+00 0.000000e+00 0.000000e+00
-3.878948e-05 2.507459e-06 1.100000e+00 -2.300003e+00 0.000000e+00 0.000000e+00
3.006953e-05 2.830226e-06 1.100000e+00 -2.100003e+00 0.000000e+00 0.000000e+00
3.233175e-06 3.003363e-06 1.100000e+00 -1.900003e+00 0.000000e+00 0.000000e+00
-1.653167e-05 4.178559e-06 1.100000e+00 -1.700003e+00 0.000000e+00 0.000000e+00
3.609147e-05 4.354924e-06 1.100000e+00 -1.500003e+00 0.000000e+00 0.000000e+00
1.292544e-04 5.229625e-06 1.100000e+00 -1.300004e+00 0.000000e+00 0.000000e+00
1.921177e-04 5.854056e-06 1.100000e+00 -1.100004e+00 0.000000e+00 0.000000e+00
1.758229e-04 6.738464e-06 1.100000e+00 -9.000039e-01 0.000000e+00 0.000000e+00
4.509346e-05 7.960625e-06 1.100000e+00 -7.000041e-01 0.000000e+00 0.000000e+00
3.972019e-04 9.391432e-06 1.100000e+00 -5.000043e-01 0.000000e+00 0.000000e+00
4.218617e-04 1.081191e-05 1.100000e+00 -3.000045e-01 0.000000e+00 0.000000e+00
4.911016e-04 1.186411e-05 1.100000e+00 -1.000047e-01 0.000000e+00 0.000000e+00
4.092594e-04 1.279190e-05 1.100000e+00 9.999514e-02 0.000000e+00 0.000000e+00
8.625747e-04 1.291582e-05 1.100000e+00 2.999949e-01 0.000000e+00 0.000000e+00
5.541091e-04 1.173533e-05 1.100000e+00 4.999948e-01 0.000000e+00 0.000000e+00
4.030751e-04 1.005903e-05 1.100000e+00 6.999946e-01 0.000000e+00 0.000000e+00
2.037876e-04 7.240893e-06 1.100000e+00 8.999944e-01 0.000000e+00 0.000000e+00
6.571516e-05 5.033220e-06 1.100000e+00 1.099994e+00 0.000000e+00 0.000000e+00
3.356499e-05 3.510744e-06 1.100000e+00 1.299994e+00 0.000000e+00 0.000000e+00
-1.171201e-05 2.749093e-06 1.100000e+00 1.499994e+00 0.000000e+00 0.000000e+00
-2.465603e-05 2.853643e-06 1.100000e+00 1.699994e+00 0.000000e+00 0.000000e+00
-3.464848e-06 2.559253e-06 1.100000e+00 1.899993e+00 0.000000e+00 0.000000e+00
-3.238853e-05 2.684912e-06 1.100000e+00 2.099993e+00 0.000000e+00 0.000000e+00
1.755460e-05 2.074903e-06 1.100000e+00 2.299993e+00 0.000000e+00 0.000000e+00
1.378473e-05 1.962105e-06 1.100000e+00 2.499993e+00 0.000000e+00 0.000000e+00
-1.579188e-05 2.085000e-06 1.100000e+00 2.699993e+00 0.000000e+00 0.000000e+00
1.507182e-06 2.837613e-06 1.100000e+00 2.899992e+00 0.000000e+00 0.000000e+00
3.561038e-06 1.565913e-06 1.100000e+00 3.099992e+00 0.000000e+00 0.000000e+00
-4.937804e-06 3.129660e-06 1.100000e+00 3.299992e+00 0.000000e+00 0.000000e+00
1.045216e-05 2.309544e-06 1.100000e+00 3.499992e+00 0.000000e+00 0.000000e+00
4.686733e-06 1.706030e-06 1.100000e+00 3.699992e+00 0.000000e+00 0.000000e+00
5.028326e-06 2.225907e-06 1.100000e+00 3.899992e+00 0.000000e+00 0.000000e+00
-3.372733e-05 3.141638e-06 1.100000e+00 4.099991e+00 0.000000e+00 0.000000e+00
1.439317e-05 2.994878e-06 1.100000e+00 4.299991e+00 0.000000e+00 0.000000e+00
7.030713e-06 2.234192e-06 1.100000e+00 4.499991e+00 0.000000e+00 0.000000e+00
2.408807e-05 3.060384e-06 1.100000e+00 4.699991e+00 0.000000e+00 0.000000e+00
1.617555e-05 2.242034e-06 1.100000e+00 4.899991e+00 0.000000e+00 0.000000e+00
-1.873664e-06 3.452771e-06 1.300000e+00 -4.900000e+00 0.000000e+00 0.000000e+00
1.993607e-05 2.675605e-06 1.300000e+00 -4.700000e+00 0.000000e+00 0.000000e+00
