# Intensity Error [H,H,0] DeltaE [0,0,L] [-H,H,0]
#  shape: 80x50x1x1
3.794684e-05 6.962176e-06 -3.750000e+00 1.825000e+01 0.000000e+00 5.000000e+00
2.938435e-05 6.839046e-06 -3.750000e+00 1.875000e+01 0.000000e+00 5.000000e+00
2.928246e-05 6.673400e-06 -3.750000e+00 1.925000e+01 0.000000e+00 5.000000e+00
3.761625e-05 6.598012e-06 -3.750000e+00 1.975000e+01 0.000000e+00 5.000000e+00
4.572817e-05 6.555007e-06 -3.750000e+00 2.025000e+01 0.000000e+00 5.000000e+00
4.613707e-05 6.331927e-06 -3.750000e+00 2.075000e+01 0.000000e+00 5.000000e+00
4.259067e-05 6.348248e-06 -3.750000e+00 2.125000e+01 0.000000e+00 5.000000e+00
3.647969e-05 6.374783e-06 -3.750000e+00 2.175000e+01 0.000000e+00 5.000000e+00
3.113943e-05 6.307727e-06 -3.750000e+00 2.225000e+01 0.000000e+00 5.000000e+00
2.741668e-05 6.132976e-06 -3.750000e+00 2.275000e+01 0.000000e+00 5.000000e+00
2.496143e-05 5.951540e-06 -3.750000e+00 2.325000e+01 0.000000e+00 5.000000e+00
1.926762e-05 5.767969e-06 -3.750000e+00 2.375000e+01 0.000000e+00 5.000000e+00
1.164305e-05 5.986690e-06 -3.750000e+00 2.425000e+01 0.000000e+00 5.000000e+00
5.526622e-06 6.946726e-06 -3.750000e+00 2.475000e+01 0.000000e+00 5.000000e+00
1.659315e-03 8.332934e-05 -3.650000e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.009094e-03 6.178614e-05 -3.650000e+00 7.500000e-01 0.000000e+00 5.000000e+00
4.351961e-04 4.106434e-05 -3.650000e+00 1.250000e+00 0.000000e+00 5.000000e+00
6.416993e-05 2.367770e-05 -3.650000e+00 1.750000e+00 0.000000e+00 5.000000e+00
5.870249e-06 1.245423e-05 -3.650000e+00 2.250000e+00 0.000000e+00 5.000000e+00
1.768959e-05 8.274919e-06 -3.650000e+00 2.750000e+00 0.000000e+00 5.000000e+00
1.175171e-05 7.288153e-06 -3.650000e+00 3.250000e+00 0.000000e+00 5.000000e+00
1.009397e-05 7.030713e-06 -3.650000e+00 3.750000e+00 0.000000e+00 5.000000e+00
1.566003e-05 6.777428e-06 -3.650000e+00 4.250000e+00 0.000000e+00 5.000000e+00
2.221122e-05 6.767496e-06 -3.650000e+00 4.750000e+00 0.000000e+00 5.000000e+00
3.106851e-05 6.879250e-06 -3.650000e+00 5.250000e+00 0.000000e+00 5.000000e+00
3.789110e-05 6.985800e-06 -3.650000e+00 5.750000e+00 0.000000e+00 5.000000e+00
3.621856e-05 7.104256e-06 -3.650000e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.404887e-05 6.848615e-06 -3.650000e+00 6.750000e+00 0.000000e+00 5.000000e+00
1.282043e-05 6.706778e-06 -3.650000e+00 7.250000e+00 0.000000e+00 5.000000e+00
4.402281e-06 7.038269e-06 -3.650000e+00 7.750000e+00 0.000000e+00 5.000000e+00
1.064305e-06 7.314470e-06 -3.650000e+00 8.250000e+00 0.000000e+00 5.000000e+00
-1.470198e-06 7.164707e-06 -3.650000e+00 8.750000e+00 0.000000e+00 5.000000e+00
3.285131e-06 7.378319e-06 -3.650000e+00 9.250000e+00 0.000000e+00 5.000000e+00
1.535684e-05 7.902794e-06 -3.650000e+00 9.750000e+00 0.000000e+00 5.000000e+00
2.235424e-05 8.268871e-06 -3.650000e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.153494e-05 8.379994e-06 -3.650000e+00 1.075000e+01 0.000000e+00 5.000000e+00
2.455779e-05 8.539482e-06 -3.650000e+00 1.125000e+01 0.000000e+00 5.000000e+00
3.826742e-05 8.648903e-06 -3.650000e+00 1.175000e+01 0.000000e+00 5.000000e+00
5.394332e-05 8.470421e-06 -3.650000e+00 1.225000e+01 0.000000e+00 5.000000e+00
6.008708e-05 7.956260e-06 -3.650000e+00 1.275000e+01 0.000000e+00 5.000000e+00
5.442865e-05 7.606886e-06 -3.650000e+00 1.325000e+01 0.000000e+00 5.000000e+00
4.844770e-05 7.554411e-06 -3.650000e+00 1.375000e+01 0.000000e+00 5.000000e+00
4.846095e-05 7.665480e-06 -3.650000e+00 1.425000e+01 0.000000e+00 5.000000e+00
4.421530e-05 7.458684e-06 -3.650000e+00 1.475000e+01 0.000000e+00 5.000000e+00
3.810652e-05 7.106192e-06 -3.650000e+00 1.525000e+01 0.000000e+00 5.000000e+00
3.104761e-05 7.010514e-06 -3.650000e+00 1.575000e+01 0.000000e+00 5.000000e+00
3.381766e-05 7.152550e-06 -3.650000e+00 1.625000e+01 0.000000e+00 5.000000e+00
4.374346e-05 7.016494e-06 -3.650000e+00 1.675000e+01 0.000000e+00 5.000000e+00
5.524643e-05 6.918903e-06 -3.650000e+00 1.725000e+01 0.000000e+00 5.000000e+00
5.651001e-05 7.029951e-06 -3.650000e+00 1.775000e+01 0.000000e+00 5.000000e+00
4.675274e-05 6.966953e-06 -3.650000e+00 1.825000e+01 0.000000e+00 5.000000e+00
