# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
6.159442e-05 1.093228e-05 2.250000e+00 1.175000e+01 0.000000e+00 6.000000e+00
5.760690e-05 1.108277e-05 2.250000e+00 1.225000e+01 0.000000e+00 6.000000e+00
5.197828e-05 1.106739e-05 2.250000e+00 1.275000e+01 0.000000e+00 6.000000e+00
3.867082e-05 1.089486e-05 2.250000e+00 1.325000e+01 0.000000e+00 6.000000e+00
2.911072e-05 1.103307e-05 2.250000e+00 1.375000e+01 0.000000e+00 6.000000e+00
3.084649e-05 1.144793e-05 2.250000e+00 1.425000e+01 0.000000e+00 6.000000e+00
4.715041e-05 1.183333e-05 2.250000e+00 1.475000e+01 0.000000e+00 6.000000e+00
6.227850e-05 1.239940e-05 2.250000e+00 1.525000e+01 0.000000e+00 6.000000e+00
7.567817e-05 1.308452e-05 2.250000e+00 1.575000e+01 0.000000e+00 6.000000e+00
8.550274e-05 1.371417e-05 2.250000e+00 1.625000e+01 0.000000e+00 6.000000e+00
8.982755e-05 1.456891e-05 2.250000e+00 1.675000e+01 0.000000e+00 6.000000e+00
7.838618e-05 1.474546e-05 2.250000e+00 1.725000e+01 0.000000e+00 6.000000e+00
6.217981e-05 1.435133e-05 2.250000e+00 1.775000e+01 0.000000e+00 6.000000e+00
5.310062e-05 1.401794e-05 2.250000e+00 1.825000e+01 0.000000e+00 6.000000e+00
5.442691e-05 1.369831e-05 2.250000e+00 1.875000e+01 0.000000e+00 6.000000e+00
5.800144e-05 1.348421e-05 2.250000e+00 1.925000e+01 0.000000e+00 6.000000e+00
5.539065e-05 1.312062e-05 2.250000e+00 1.975000e+01 0.000000e+00 6.000000e+00
5.169078e-05 1.293054e-05 2.250000e+00 2.025000e+01 0.000000e+00 6.000000e+00
4.710440e-05 1.258444e-05 2.250000e+00 2.075000e+01 0.000000e+00 6.000000e+00
5.053304e-05 1.248960e-05 2.250000e+00 2.125000e+01 0.000000e+00 6.000000e+00
5.682225e-05 1.299305e-05 2.250000e+00 2.175000e+01 0.000000e+00 6.000000e+00
6.439928e-05 1.334663e-05 2.250000e+00 2.225000e+01 0.000000e+00 6.000000e+00
6.352664e-05 1.292807e-05 2.250000e+00 2.275000e+01 0.000000e+00 6.000000e+00
5.030921e-05 1.266266e-05 2.250000e+00 2.325000e+01 0.000000e+00 6.000000e+00
3.342027e-05 1.215555e-05 2.250000e+00 2.375000e+01 0.000000e+00 6.000000e+00
2.211544e-05 1.221788e-05 2.250000e+00 2.425000e+01 0.000000e+00 6.000000e+00
1.744904e-05 1.391487e-05 2.250000e+00 2.475000e+01 0.000000e+00 6.000000e+00
4.953346e-03 9.695370e-05 2.350000e+00 2.500000e-01 0.000000e+00 6.000000e+00
3.662779e-03 7.082684e-05 2.350000e+00 7.500000e-01 0.000000e+00 6.000000e+00
2.154259e-03 4.631825e-05 2.350000e+00 1.250000e+00 0.000000e+00 6.000000e+00
7.217378e-04 2.728485e-05 2.350000e+00 1.750000e+00 0.000000e+00 6.000000e+00
1.191627e-04 1.741395e-05 2.350000e+00 2.250000e+00 0.000000e+00 6.000000e+00
6.099411e-05 1.655339e-05 2.350000e+00 2.750000e+00 0.000000e+00 6.000000e+00
8.103712e-05 1.755411e-05 2.350000e+00 3.250000e+00 0.000000e+00 6.000000e+00
8.384669e-05 1.715173e-05 2.350000e+00 3.750000e+00 0.000000e+00 6.000000e+00
6.803725e-05 1.557954e-05 2.350000e+00 4.250000e+00 0.000000e+00 6.000000e+00
5.261151e-05 1.437346e-05 2.350000e+00 4.750000e+00 0.000000e+00 6.000000e+00
4.328029e-05 1.328671e-05 2.350000e+00 5.250000e+00 0.000000e+00 6.000000e+00
3.276310e-05 1.211782e-05 2.350000e+00 5.750000e+00 0.000000e+00 6.000000e+00
2.236528e-05 1.132551e-05 2.350000e+00 6.250000e+00 0.000000e+00 6.000000e+00
1.618593e-05 1.084878e-05 2.350000e+00 6.750000e+00 0.000000e+00 6.000000e+00
2.075535e-05 1.076080e-05 2.350000e+00 7.250000e+00 0.000000e+00 6.000000e+00
3.100775e-05 1.076101e-05 2.350000e+00 7.750000e+00 0.000000e+00 6.000000e+00
