# Intensity Error [H,0,0] DeltaE [0,0,L] [0,K,0]
#  shape: 80x50x1x1
2.274500e-05 1.267524e-05 -3.850000e+00 2.175000e+01 8.000000e+00 0.000000e+00
4.750969e-07 1.154999e-05 -3.850000e+00 2.225000e+01 8.000000e+00 0.000000e+00
-1.114335e-05 1.055568e-05 -3.850000e+00 2.275000e+01 8.000000e+00 0.000000e+00
-5.365497e-06 1.032347e-05 -3.850000e+00 2.325000e+01 8.000000e+00 0.000000e+00
1.349892e-05 1.064967e-05 -3.850000e+00 2.375000e+01 8.000000e+00 0.000000e+00
3.227896e-05 1.247820e-05 -3.850000e+00 2.425000e+01 8.000000e+00 0.000000e+00
4.859490e-05 1.524235e-05 -3.850000e+00 2.475000e+01 8.000000e+00 0.000000e+00
1.463773e-01 4.484776e-04 -3.750000e+00 2.500000e-01 8.000000e+00 0.000000e+00
1.025123e-01 3.163729e-04 -3.750000e+00 7.500000e-01 8.000000e+00 0.000000e+00
5.514143e-02 1.915176e-04 -3.750000e+00 1.250000e+00 8.000000e+00 0.000000e+00
1.676190e-02 9.335305e-05 -3.750000e+00 1.750000e+00 8.000000e+00 0.000000e+00
2.341140e-03 3.734698e-05 -3.750000e+00 2.250000e+00 8.000000e+00 0.000000e+00
3.820633e-04 2.127164e-05 -3.750000e+00 2.750000e+00 8.000000e+00 0.000000e+00
2.591604e-04 1.843460e-05 -3.750000e+00 3.250000e+00 8.000000e+00 0.000000e+00
2.351644e-04 1.808504e-05 -3.750000e+00 3.750000e+00 8.000000e+00 0.000000e+00
2.176356e-04 1.751240e-05 -3.750000e+00 4.250000e+00 8.000000e+00 0.000000e+00
1.812618e-04 1.566304e-05 -3.750000e+00 4.750000e+00 8.000000e+00 0.000000e+00
1.300281e-04 1.382564e-05 -3.750000e+00 5.250000e+00 8.000000e+00 0.000000e+00
8.800979e-05 1.300259e-05 -3.750000e+00 5.750000e+00 8.000000e+00 0.000000e+00
6.007392e-05 1.287481e-05 -3.750000e+00 6.250000e+00 8.000000e+00 0.000000e+00
4.523304e-05 1.297921e-05 -3.750000e+00 6.750000e+00 8.000000e+00 0.000000e+00
3.425705e-05 1.291747e-05 -3.750000e+00 7.250000e+00 8.000000e+00 0.000000e+00
3.196885e-05 1.325322e-05 -3.750000e+00 7.750000e+00 8.000000e+00 0.000000e+00
3.522005e-05 1.427826e-05 -3.750000e+00 8.250000e+00 8.000000e+00 0.000000e+00
4.175209e-05 1.555456e-05 -3.750000e+00 8.750000e+00 8.000000e+00 0.000000e+00
3.739573e-05 1.540433e-05 -3.750000e+00 9.250000e+00 8.000000e+00 0.000000e+00
2.131309e-05 1.419515e-05 -3.750000e+00 9.750000e+00 8.000000e+00 0.000000e+00
1.137758e-05 1.432402e-05 -3.750000e+00 1.025000e+01 8.000000e+00 0.000000e+00
3.821175e-05 1.588070e-05 -3.750000e+00 1.075000e+01 8.000000e+00 0.000000e+00
8.007764e-05 1.742345e-05 -3.750000e+00 1.125000e+01 8.000000e+00 0.000000e+00
1.018114e-04 1.713205e-05 -3.750000e+00 1.175000e+01 8.000000e+00 0.000000e+00
9.036460e-05 1.510222e-05 -3.750000e+00 1.225000e+01 8.000000e+00 0.000000e+00
6.360226e-05 1.245215e-05 -3.750000e+00 1.275000e+01 8.000000e+00 0.000000e+00
4.114001e-05 1.044112e-05 -3.750000e+00 1.325000e+01 8.000000e+00 0.000000e+00
3.166823e-05 9.819313e-06 -3.750000e+00 1.375000e+01 8.000000e+00 0.000000e+00
3.521013e-05 9.979814e-06 -3.750000e+00 1.425000e+01 8.000000e+00 0.000000e+00
4.760381e-05 9.946893e-06 -3.750000e+00 1.475000e+01 8.000000e+00 0.000000e+00
5.473678e-05 9.764954e-06 -3.750000e+00 1.525000e+01 8.000000e+00 0.000000e+00
5.269857e-05 9.598174e-06 -3.750000e+00 1.575000e+01 8.000000e+00 0.000000e+00
4.830997e-05 9.521827e-06 -3.750000e+00 1.625000e+01 8.000000e+00 0.000000e+00
5.749787e-05 9.809999e-06 -3.750000e+00 1.675000e+01 8.000000e+00 0.000000e+00
7.417899e-05 1.039247e-05 -3.750000e+00 1.725000e+01 8.000000e+00 0.000000e+00
8.626454e-05 1.073734e-05 -3.750000e+00 1.775000e+01 8.000000e+00 0.000000e+00
7.660549e-05 1.079519e-05 -3.750000e+00 1.825000e+01 8.000000e+00 0.000000e+00
5.586318e-05 1.093809e-05 -3.750000e+00 1.875000e+01 8.000000e+00 0.000000e+00
3.348666e-05 1.040532e-05 -3.750000e+00 1.925000e+01 8.000000e+00 0.000000e+00
2.531616e-05 1.003481e-05 -3.750000e+00 1.975000e+01 8.000000e+00 0.000000e+00
3.014635e-05 1.048922e-05 -3.750000e+00 2.025000e+01 8.000000e+00 0.000000e+00
4.611045e-05 1.136388e-05 -3.750000e+00 2.075000e+01 8.000000e+00 0.000000e+00
5.029923e-05 1.211855e-05 -3.750000e+00 2.125000e+01 8.000000e+00 0.000000e+00
3.695778e-05 1.239524e-05 -3.750000e+00 2.175000e+01 8.000000e+00 0.000000e+00
1.649461e-05 1.163480e-05 -3.750000e+00 2.225000e+01 8.000000e+00 0.000000e+00
3.539200e-06 1.059492e-05 -3.750000e+00 2.275000e+01 8.000000e+00 0.000000e+00
4.656105e-06 9.799831e-06 -3.750000e+00 2.325000e+01 8.000000e+00 0.000000e+00
1.661738e-05 9.765061e-06 -3.750000e+00 2.375000e+01 8.000000e+00 0.000000e+00
2.997154e-05 1.129946e-05 -3.750000e+00 2.425000e+01 8.000000e+00 0.000000e+00
4.297805e-05 1.362972e-05 -3.750000e+00 2.475000e+01 8.000000e+00 0.000000e+00
3.916102e-02 2.210815e-04 -3.650000e+00 2.500000e-01 8.000000e+00 0.000000e+00
2.816034e-02 1.596630e-04 -3.650000e+00 7.500000e-01 8.000000e+00 0.000000e+00
1.569300e-02 1.012632e-04 -3.650000e+00 1.250000e+00 8.000000e+00 0.000000e+00
5.211121e-03 5.418714e-05 -3.650000e+00 1.750000e+00 8.000000e+00 0.000000e+00
8.748926e-04 2.629954e-05 -3.650000e+00 2.250000e+00 8.000000e+00 0.000000e+00
2.154752e-04 1.736608e-05 -3.650000e+00 2.750000e+00 8.000000e+00 0.000000e+00
1.726712e-04 1.568313e-05 -3.650000e+00 3.250000e+00 8.000000e+00 0.000000e+00
1.903451e-04 1.631277e-05 -3.650000e+00 3.750000e+00 8.000000e+00 0.000000e+00
2.034674e-04 1.682918e-05 -3.650000e+00 4.250000e+00 8.000000e+00 0.000000e+00
1.861125e-04 1.580891e-05 -3.650000e+00 4.750000e+00 8.000000e+00 0.000000e+00
1.492250e-04 1.449972e-05 -3.650000e+00 5.250000e+00 8.000000e+00 0.000000e+00
1.114603e-04 1.377931e-05 -3.650000e+00 5.750000e+00 8.000000e+00 0.000000e+00
7.674576e-05 1.313146e-05 -3.650000e+00 6.250000e+00 8.000000e+00 0.000000e+00
4.734514e-05 1.246941e-05 -3.650000e+00 6.750000e+00 8.000000e+00 0.000000e+00
2.429602e-05 1.202967e-05 -3.650000e+00 7.250000e+00 8.000000e+00 0.000000e+00
1.932550e-05 1.195451e-05 -3.650000e+00 7.750000e+00 8.000000e+00 0.000000e+00
2.856013e-05 1.269040e-05 -3.650000e+00 8.250000e+00 8.000000e+00 0.000000e+00
4.176993e-05 1.434971e-05 -3.650000e+00 8.750000e+00 8.000000e+00 0.000000e+00
