[Header]
TITLE,LLZTO-sc 2-400 process 02282022.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,16.3,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,881.5,MOLWGHT:Formula Weight (g/mole)
INFO,23.5,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/g-K),Samp HC Err (J/g-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/g-K/K),Addenda Offset HC (µJ/K)
3854842083.09526,,1857,145.557,145.557,0.012184609,9.8999999E-6,146.0573,2.7948814,0.30216555,0.0018914097,3784.6007,2.319,8709.8991,5.663,0.16986609,72.408094,0.18419487,98.968525,633.40282,3.5184572,1,,,,0.00012069094,144.22208,21332.735,0.0020688151,0
3854843470.49524,,1857,130.791,130.791,0.073107652,9.8999999E-6,131.36789,2.7043691,0.26741502,0.0017263621,3149.5067,2.04,7508.3715,8.519,0.04845008,67.86069,0.10998079,99.335893,621.07578,3.3855395,1,,,,0.0001108936,144.81619,17257.524,0.0020356193,0
3854843970.19751,,1857,130.791,130.791,-0.012184609,9.8999999E-6,131.20619,2.5152014,0.26758102,0.0016869552,3142.7869,2.036,7504.3576,5.997,0.088703358,68.768935,0.15506361,99.076378,620.05439,3.1509755,1,,,,0.00010946866,135.72138,17215.064,0.0020393933,0
3854844476.60695,,1857,130.791,130.791,0.024369217,9.8999999E-6,131.19912,2.5347777,0.26769117,0.0016758723,3142.4779,2.036,7505.8439,5.047,0.19671419,69.047636,0.16665223,99.011479,619.85061,3.0662726,1,,,,0.00010907296,137.53787,17213.208,0.0020403427,0
3854845794.16488,,1857,117.522,117.522,-0.048738435,9.8999999E-6,118.02543,2.4658276,0.2352874,0.0015149611,2590.7144,1.693,6425.899,7.302,0.052281451,63.760753,0.095902603,99.37603,605.09578,2.9539946,1,,,,0.00010100716,138.09527,13930.002,0.0019935314,0
3854846266.40578,,1857,117.52,117.52,-0.036553826,9.8999999E-6,117.87232,2.2748913,0.23526736,0.0014796274,2584.6336,1.69,6419.4915,5.031,0.1042128,64.60064,0.13626394,99.125181,604.3418,2.7427432,1,,,,9.9685577E-5,127.52151,13893.884,0.0019959508,0
3854846744.39408,,1857,117.521,117.521,0.024369217,9.8999999E-6,117.86536,2.2930204,0.23531685,0.0014717108,2584.3299,1.69,6419.9945,4.344,0.22440764,64.846259,0.14537817,99.070285,604.22961,2.6813067,1,,,,9.9335701E-5,129.20128,13892.243,0.0019964886,0
3854848061.12487,,1857,105.598,105.598,-0.060923044,9.8999999E-6,106.05171,2.2431357,0.20544779,0.0013055944,2109.0273,1.494,5457.8263,5.345,0.090760424,59.44287,0.088966959,99.369731,587.73893,2.5198359,1,,,,9.2035907E-5,129.69252,11246.966,0.0019372417,0
3854848502.71009,,1857,105.598,105.598,-0.024369217,9.8999999E-6,105.91871,2.0609881,0.20541746,0.0012897387,2103.9359,1.492,5452.2405,4.215,0.15872188,60.052355,0.12208632,99.143898,587.0494,2.4130449,1,,,,9.1087725E-5,118.88574,11218.774,0.0019393879,0
3854848947.04085,,1857,105.599,105.599,-0.036553826,9.8999999E-6,105.9135,2.074288,0.20548164,0.0012858336,2103.7439,1.492,5453.0947,3.851,0.29035326,60.21273,0.12596717,99.119007,586.91989,2.3800432,1,,,,9.0868129E-5,120.10471,11217.67,0.0019400893,0
3854850184.44213,,1857,94.8865,94.8865,0.012184609,9.8999999E-6,95.315885,2.0477761,0.17700617,0.0011253312,1697.2167,1.262,4582.4172,4.643,0.10723199,54.633242,0.074237466,99.418,571.25459,2.2510229,1,,,,8.4070907E-5,120.42546,9085.118,0.0018570479,0
3854850591.80722,,1857,94.8847,94.8847,-0.060923044,9.8999999E-6,95.189918,1.8709731,0.17691285,0.0011119611,1692.7011,1.258,4576.3806,3.735,0.18627716,55.169658,0.10264333,99.203027,570.65121,2.1616405,1,,,,8.3216137E-5,109.26648,9061.1205,0.0018585251,0
3854851004.93634,,1857,94.8867,94.8867,0.060923044,9.8999999E-6,95.184685,1.8826197,0.17697226,0.0011078862,1692.5148,1.258,4577.1627,3.367,0.39311416,55.340761,0.10586104,99.180524,570.52333,2.1268874,1,,,,8.2980655E-5,110.33932,9060.1243,0.0018592515,0
3854852142.10618,,1857,85.2598,85.2598,0.073107652,9.8999999E-6,85.641529,1.8567111,0.15219848,0.00096754531,1360.7828,1.016,3841.6181,4.006,0.10049774,49.756985,0.058553705,99.485985,552.30795,2.0224894,1,,,,7.7374166E-5,110.68152,7334.4715,0.0017771575,0
3854852514.43195,,1857,85.2579,85.2579,0.060923044,9.8999999E-6,85.520773,1.6896564,0.15214239,0.0009535714,1357.0851,1.014,3837.0061,3.015,0.19429105,50.308626,0.086672911,99.247248,551.62442,1.9208156,1,,,,7.651141E-5,99.513971,7313.8026,0.001779011,0
3854852892.26321,,1857,85.2577,85.2577,0.048738435,9.8999999E-6,85.517294,1.7016358,0.15219215,0.00095128988,1356.9767,1.014,3837.7088,2.79,0.38351777,50.451304,0.089492328,99.224894,551.5175,1.8985274,1,,,,7.6316315E-5,100.61725,7313.2076,0.0017796652,0
3854853919.54303,,1857,76.6105,76.6105,0.085292265,9.8999999E-6,76.910726,1.6805727,0.12998892,0.00082796239,1092.7204,0.864,3211.5398,3.524,0.10312238,44.994692,0.04733825,99.531602,532.76506,1.8403053,1,,,,7.1522331E-5,100.90261,5915.2597,0.0016901273,0
3854854257.26686,,1857,76.6105,76.6105,-0.036553826,9.8999999E-6,76.797307,1.5238368,0.12991419,0.00081487938,1089.6094,0.8616,3207.2107,2.628,0.21133873,45.521494,0.071908627,99.296408,532.1138,1.7428643,1,,,,7.0672848E-5,89.989384,5897.8263,0.0016916503,0
3854854602.15508,,1857,76.6088,76.6088,0.048738435,9.8999999E-6,76.793748,1.5356878,0.12995202,0.00081253326,1089.5089,0.8616,3207.7268,2.407,0.42611778,45.659451,0.07513248,99.26702,532.0211,1.7196345,1,,,,7.0479871E-5,91.042987,5897.2797,0.0016922213,0
3854855519.3152,,1857,68.8375,68.8375,-0.012184609,9.8999999E-6,69.079347,1.5236137,0.11030122,0.00070391159,876.49125,0.7308,2674.4012,3.074,0.097128685,40.464837,0.037374369,99.580954,513.27053,1.6859025,1,,,,6.6217791E-5,91.318902,4771.9562,0.0015967323,0
3854855827.21834,,1857,68.8363,68.8363,-0.060923044,9.8999999E-6,68.971442,1.377735,0.11022885,0.00069107592,873.86789,0.7298,2670.5981,2.203,0.23610864,40.963313,0.060063064,99.334367,512.60853,1.5844462,1,,,,6.5392909E-5,80.929675,4757.0598,0.001598181,0
3854856136.71788,,1857,68.8386,68.8386,-0.036553826,9.8999999E-6,68.969105,1.3885707,0.11026709,0.00068942023,873.80419,0.7298,2671.1578,2.04,0.47658841,41.078858,0.061971816,99.315057,512.51731,1.5660207,1,,,,6.5228475E-5,81.926625,4756.7375,0.0015987897,0
3854856950.24268,,1857,61.8531,61.8531,0,9.8999999E-6,62.06525,1.382089,0.092816408,0.00059453072,705.88125,0.6561,2218.7887,2.708,0.10241016,36.187259,0.028321168,99.639309,494.55688,1.5635088,1,,,,6.1417361E-5,82.157715,3852.0952,0.001495465,0
3854857224.93064,,1857,61.8538,61.8538,0.1462153,9.8999999E-6,61.965468,1.2468169,0.09273994,0.00058285975,703.77127,0.6548,2215.4323,1.956,0.23502659,36.654075,0.049386891,99.378642,493.92283,1.4681784,1,,,,6.061782E-5,72.374518,3839.7192,0.0014966391,0
3854857506.61749,,1857,61.8529,61.8529,0.20713834,9.8999999E-6,61.961582,1.2576329,0.092764569,0.00058072004,703.68133,0.6548,2215.7438,1.766,0.56770637,36.786126,0.051821588,99.350268,493.83997,1.4448588,1,,,,6.0416841E-5,73.30815,3839.2377,0.0014971304,0
3854858238.59174,,1857,55.5785,55.5785,0.012184609,9.8999999E-6,55.754653,1.2543263,0.077398069,0.00049548445,570.38988,0.5769,1831.9784,2.234,0.11830337,32.247005,0.023295814,99.663127,476.65401,1.4427014,1,,,,5.6901938E-5,73.572251,3108.5813,0.0013881903,0
3854858487.81923,,1857,55.5793,55.5793,-0.036553826,9.8999999E-6,55.66239,1.130552,0.077317981,0.00048564352,568.63171,0.576,1828.9148,1.597,0.3012326,32.636681,0.040355487,99.423015,476.05222,1.3538024,1,,,,5.6193242E-5,64.494011,3098.3017,0.0013890525,0
3854858740.40968,,1857,55.5786,55.5786,-0.060923044,9.8999999E-6,55.659487,1.1391544,0.07732615,0.00048502307,568.60425,0.576,1829.0205,1.542,0.83926107,32.765935,0.044146233,99.371284,476.00831,1.3463022,1,,,,5.5988739E-5,65.273363,3097.9785,0.0013892717,0
